Name,Comment,Time,Likes,Reply Count
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,,....,,,,",2020-09-16T15:21:43Z,0,
สุพัตรา,อยากให้พี่ทัวร์คณะวิศวะจักค่ะ,2020-08-07T14:12:53Z,2,0
ศิริยาภา หมวดนามน.,มข.มีนิเทศไหมคะพี่,2020-08-04T02:39:50Z,0,1
Ohma Shu,มีครับ แต่จะเป็นหลักสูตร​นานาชาตินะ,2020-08-26T05:08:14Z,1,
War anya,ชอบเอนเนอ​จี้ชื่อคลิปมากค่าา555,2020-08-01T16:14:48Z,0,0
Mind Sudaa,พี่จีค่ะ พี่มช้อะไรถ่ายหรอค่ะ     พอดีหนูก็ทำช่องเหมือนค่ะก็เลยอยากรู้จักพี่ค่ะ ขอไอจีด้วยได้ไหมค่ะ,2020-07-29T08:36:28Z,0,2
Mind Sudaa,@Gee Babygee ขอบคุณค่ะพี่จี,2020-08-02T09:51:45Z,0,
Gee Babygee,Minddy Channel ใช้โทรศัพท์ค่าไอโฟนXค่ะ ig: gee_244 สู้ๆน้าาา,2020-08-02T08:27:57Z,0,
จิป๋อ FILM,กดติดตามเลยครับ😗,2020-07-29T03:33:07Z,0,0
แคทริยา แคทริยา,ใช้แอพอะไรตัดต่อคะ,2020-07-27T10:56:20Z,0,1
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,,....,,,,",2020-09-16T15:22:26Z,0,
NTW Channel,คือดี💛✨,2020-07-26T13:16:49Z,4,1
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,...,,,",2020-09-16T15:22:34Z,0,
3402 Korawit Sritotum,FC พี่รหัสค้าบบ,2020-07-26T02:31:12Z,0,2
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,..,,,",2020-09-16T15:22:05Z,0,
Gee Babygee,Korawit Sritotum คิดถึงน้องรหัส5555,2020-07-27T13:48:48Z,0,
I'lldie4u,ขอถามหน่อยนะงับ มข.ให้คนนอกเข้าไปศึกษาดูหอสมุดได้หรองับบ,2020-07-25T14:05:47Z,1,1
Re Ligion,"อิสลามใหญ่สวรรค์ พุทธใหญ่โลก คริสต์ใหญ่นรก อยู่กับคนดีเคารพอิสลาม อยู่กับคนเลวเคารพคริสต์ ฆ่าคนเลว(@IG(Supreme god kill the bad guys),,,,....,,,,",2020-09-16T15:21:03Z,0,
